Event_ID,Duration_s,Mic0_vs_Mic1_ms,Mic0_vs_Mic2_ms,Mic0_vs_Mic3_ms,Mic1_vs_Mic2_ms,Mic1_vs_Mic3_ms,Mic2_vs_Mic3_ms
1,0.9978,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
2,0.6725,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
3,0.1519,0.1250,0.1667,-0.0208,0.3750,0.1667,0.0208
4,0.1866,-1.2500,-0.0625,0.3542,1.0208,1.1875,0.1458
5,0.9471,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
6,0.1502,-0.1042,0.0417,0.0208,0.1875,0.1458,0.1250
7,0.6625,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
8,0.8875,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
9,0.1650,-0.1458,-0.1458,0.3542,0.9167,1.1875,-0.1875
10,0.5677,0.2292,-0.2083,-0.1667,-0.2083,-0.3958,-0.1667
