Target_Freq_Hz,Beep_Index,Duration_s,Event_Avg_ms,Mic0_vs_Mic1_ms,Mic0_vs_Mic2_ms,Mic0_vs_Mic3_ms,Mic1_vs_Mic2_ms,Mic1_vs_Mic3_ms,Mic2_vs_Mic3_ms
300,1,0.9885,-1.7812,-0.1875,-0.1875,-3.5625,0.0208,-3.3750,-3.3958
300,2,1.8799,-1.2118,-0.1458,-0.1250,-3.5417,3.3542,-3.3958,-3.4167
300,3,0.9281,-1.1910,-0.0833,-0.0625,-3.5000,3.3542,-3.4167,-3.4375
300,4,0.9142,-1.7465,-0.0833,-0.0625,-3.5000,0.0208,-3.4167,-3.4375
300,5,0.7978,-1.7500,-0.0833,-0.0625,-3.5000,0.0208,-3.4375,-3.4375
300,6,0.6067,0.2431,1.7917,-0.2292,-2.2708,0.4583,3.4583,-1.7500
300,7,0.9783,1.9757,4.3333,0.0417,4.2917,-4.3542,3.2083,4.3333
300,8,1.4550,0.0694,0.1875,0.1875,0.1042,0.0625,-0.0417,-0.0833
1000,1,0.8226,-0.2847,-2.1250,-0.1042,-1.2500,2.0208,0.8750,-1.1250
1000,2,0.8835,-0.1215,-2.1250,-0.1042,-1.2500,3.0208,0.8750,-1.1458
1000,3,1.1198,-0.1111,-1.0833,-0.0833,-0.2292,1.0000,0.8542,-1.1250
1000,4,0.6815,-1.2639,-4.0417,-0.0625,-4.1875,4.9792,-0.1458,-4.1250
1000,5,0.7636,-0.2882,-2.0833,-0.1250,-1.2292,1.9583,0.8542,-1.1042
1000,6,0.9324,-0.4514,-3.0833,-0.1042,-1.2292,1.9792,0.8542,-1.1250
2000,1,0.8227,2.9479,3.2500,4.2500,4.7292,1.5000,2.4792,1.4792
2000,2,0.8518,3.2708,4.7292,4.7500,4.7083,1.5000,1.9792,1.9583
2000,3,0.8365,3.1597,4.6875,4.6875,4.6667,1.0000,1.9583,1.9583
2000,4,0.8274,3.0625,4.6667,4.6667,4.6250,1.0000,1.9583,1.4583
2000,5,0.8348,2.4826,4.6667,4.6667,4.6458,1.0000,-0.5417,0.4583
8000,1,0.7969,1.8993,-0.7500,0.2083,0.0625,4.9583,4.9375,1.9792
8000,2,0.7949,0.7986,-4.9792,4.9583,4.9375,-4.9167,-0.1875,4.9792
8000,3,0.7496,-0.9688,-4.9792,-4.8958,4.9375,0.0833,-0.8125,-0.1458
8000,4,0.8557,0.5521,-4.9583,0.1042,-1.5417,4.9375,4.9167,-0.1458
8000,5,0.8338,1.7153,4.8958,-4.8958,-1.7917,4.9375,4.9167,2.2292

OVERALL SUMMARY STATISTICS

300 Hz AVERAGE,,,,0.7161,-0.0625,-1.9349,0.3672,-1.3021,-1.8281
300 Hz STD_DEV,,,,1.4999,0.1228,2.6368,2.2527,2.8892,2.5924

1000 Hz AVERAGE,,,,-2.4236,-0.0972,-1.5625,2.4931,0.6944,-1.6250
1000 Hz STD_DEV,,,,0.9259,0.0196,1.2306,1.2558,0.3759,1.1181

2000 Hz AVERAGE,,,,4.4000,4.6042,4.6750,1.2000,1.5667,1.4625
2000 Hz STD_DEV,,,,0.5755,0.1797,0.0386,0.2449,1.0728,0.5478

8000 Hz AVERAGE,,,,-2.1542,-0.9042,1.3208,2.0000,2.7542,1.7792
8000 Hz STD_DEV,,,,3.8858,3.7011,3.0208,3.9376,2.6644,1.8918
