Target_Freq_Hz,Beep_Index,Duration_s,Event_Avg_ms,Mic0_vs_Mic1_ms,Mic0_vs_Mic2_ms,Mic0_vs_Mic3_ms,Mic1_vs_Mic2_ms,Mic1_vs_Mic3_ms,Mic2_vs_Mic3_ms
300,1,0.2027,0.6146,-1.1458,0.5000,0.6875,1.6250,1.8333,0.1875
300,2,5.6928,1.3264,1.8750,1.7708,3.8958,-0.1042,2.0625,-1.5417
1000,1,0.4646,-0.7118,-2.1875,0.0000,0.2708,0.0833,-4.9792,2.5417
2000,1,0.6310,-1.0729,1.2292,0.7917,-1.5000,-0.9375,-3.2292,-2.7917
2000,2,0.6295,-1.5590,0.7292,0.2917,-3.4583,-0.4375,-3.7083,-2.7708
2000,3,0.6307,-0.7222,0.7500,4.7917,-2.9583,-0.4583,-3.7083,-2.7500
2000,4,0.6299,-0.9097,0.7500,0.7917,-0.5000,-0.4583,-3.2500,-2.7917
2000,5,0.6305,-0.9722,0.7500,4.7917,-3.9583,-0.4583,-3.7083,-3.2500
8000,1,0.3027,1.5035,-1.3125,2.9583,4.3542,-1.0000,1.1875,2.8333
8000,2,0.6621,0.0972,0.1875,0.5000,0.1250,0.0625,-0.0417,-0.2500
8000,3,0.6664,-0.2708,0.1875,0.3750,-2.2292,0.3333,-0.0417,-0.2500
8000,4,0.6654,-1.4410,-4.4375,0.3750,-4.3542,0.0625,-0.0417,-0.2500
8000,5,0.6637,-0.3160,0.1875,0.3750,-2.2292,0.0625,-0.0417,-0.2500
8000,6,0.6534,0.7431,0.3125,4.3750,0.1250,0.0625,-0.0417,-0.3750

OVERALL SUMMARY STATISTICS

300 Hz AVERAGE,,,,0.3646,1.1354,2.2917,0.7604,1.9479,-0.6771
300 Hz STD_DEV,,,,1.5104,0.6354,1.6042,0.8646,0.1146,0.8646

1000 Hz AVERAGE,,,,-2.1875,0.0000,0.2708,0.0833,-4.9792,2.5417
1000 Hz STD_DEV,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000

2000 Hz AVERAGE,,,,0.8417,2.2917,-2.4750,-0.5500,-3.5208,-2.8708
2000 Hz STD_DEV,,,,0.1939,2.0494,1.2847,0.1939,0.2297,0.1902

8000 Hz AVERAGE,,,,-0.8125,1.4931,-0.7014,-0.0694,0.1632,0.2431
8000 Hz STD_DEV,,,,1.7154,1.5911,2.7366,0.4277,0.4581,1.1593
